SYMBOL,COMPANY,LISTING_DATE,LISTING_HIGH,LISTING_LOW,BREAKOUT_DATE,BREAKOUT_HIGH,BREAKOUT_CLOSE,BREAKOUT_VOLUME
AMAGI,Amagi Media Labs,2026-01-21,356.95001220703125,318.0,2026-01-22,369.04998779296875,365.6000061035156,6398227.0
SHADOWFAX,Shadowfax Technologies,2026-01-28,119.66999816894531,109.0,2026-02-10,122.9800033569336,118.11000061035156,7330989.0
AYE,Aye Finance,2026-02-16,133.8000030517578,120.55000305175781,2026-02-17,149.69000244140625,134.92999267578125,14318825.0
FRACTAL,Fractal Analytics,2026-02-16,897.2999877929688,831.2999877929688,2026-02-17,921.0,888.25,5830776.0
GAUDIUMIVF,Gaudium IVF,2026-02-27,87.1500015258789,79.5,2026-03-17,88.0,85.0,1758210.0
SRTL,Shree Ram Twistex,2026-03-02,71.4000015258789,66.0,2026-03-04,73.36000061035156,67.83000183105469,451548.0
PNGSREVA,PNGS Reva,2026-03-04,433.0,360.0,2026-04-28,442.0,432.95001220703125,853178.0
OMNI,Omnitech Engineering,2026-03-05,224.6999969482422,202.0,2026-03-16,230.0,218.67999267578125,952382.0
SEDEMAC,Sedemac Mechatronics,2026-03-11,1613.5,1420.0,2026-04-06,1708.5999755859375,1680.199951171875,511124.0
RSL,Rajputana Stainless,2026-03-19,122.0999984741211,111.16000366210938,2026-04-06,125.0,118.43000030517578,1694103.0
GSPCROP,GSP Crop Science,2026-03-24,364.0,328.0,2026-03-25,375.0,352.95001220703125,1458067.0
SAIPARENT,Sai Parenteral’s,2026-04-02,416.0,400.0,2026-04-06,424.20001220703125,406.6499938964844,173200.0
AEROPLANE,Aeroplane Basmati,2026-05-05,132.8000030517578,130.0,2026-05-07,134.14999389648438,133.72999572753906,1496098.0
POWERICA,Powerica,2026-04-02,397.0,365.1000061035156,2026-04-06,399.0,396.54998779296875,533846.0
OMPOWER,Om Power,2026-04-17,195.3000030517578,186.0,2026-04-20,203.0399932861328,203.0399932861328,1177265.0
KISSHT,Kissht,2026-05-08,227.39999389648438,190.0,2026-05-19,232.0,226.8800048828125,11899056.0
HEXAGON,Hexagon Nutrition,2026-06-12,50.65999984741211,48.099998474121094,2026-06-15,53.189998626708984,53.189998626708984,691949.0
TURTLEMINT,Turtlemint Fintech,2026-06-29,144.9499969482422,132.0,2026-07-01,146.99000549316406,142.8800048828125,3612891.0
AASTHA,Aastha Spintex,2026-07-06,136.5,130.0,2026-07-22,140.00999450683594,103.23999786376953,18345174.0
KNACK,Knack Packaging,2026-07-08,192.0,180.3300018310547,2026-07-09,204.0,194.7100067138672,19121784.0
KUSUMGAR,Kusumgar,2026-07-15,625.9000244140625,568.1500244140625,2026-07-16,629.2000122070312,588.7000122070312,4352403.0
LASERPOWER,Laser Power,2026-07-16,270.0,250.0,2026-07-17,288.6600036621094,288.6600036621094,8020732.0
CMLL,Caliber Mining,2026-07-24,538.75,463.3500061035156,2026-07-27,624.4000244140625,570.5499877929688,25880974.0
XTRANET,Xtranet Technologies,2026-07-30,136.89999389648438,129.1999969482422,2026-08-10,143.02000427246094,143.02000427246094,182087.0
LCL,Lohia Corp,2026-07-30,508.6499938964844,461.0,2026-07-31,544.4000244140625,535.1500244140625,10892095.0
INDOMIM,Indo-MIM,2026-07-30,757.75,700.0,2026-07-31,815.9000244140625,776.1500244140625,27057625.0
