SYMBOL,COMPANY,LISTING_DATE,LISTING_HIGH,LISTING_LOW,ACTUAL_FIRST_SESSION,METHOD
AMAGI,Amagi Media Labs,2026-01-21,356.95001220703125,318.0,,
SHADOWFAX,Shadowfax Technologies,2026-01-28,119.66999816894531,109.0,,
AYE,Aye Finance,2026-02-16,133.8000030517578,120.55000305175781,,
FRACTAL,Fractal Analytics,2026-02-16,897.2999877929688,831.2999877929688,,
GAUDIUMIVF,Gaudium IVF,2026-02-27,87.1500015258789,79.5,,
SRTL,Shree Ram Twistex,2026-03-02,71.4000015258789,66.0,,
PNGSREVA,PNGS Reva,2026-03-04,433.0,360.0,,
OMNI,Omnitech Engineering,2026-03-05,224.6999969482422,202.0,,
SEDEMAC,Sedemac Mechatronics,2026-03-11,1613.5,1420.0,,
RSL,Rajputana Stainless,2026-03-19,122.0999984741211,111.16000366210938,,
GSPCROP,GSP Crop Science,2026-03-24,364.0,328.0,,
SAIPARENT,Sai Parenteral’s,2026-04-02,416.0,400.0,,
AEROPLANE,Aeroplane Basmati,2026-05-05,132.8000030517578,130.0,,
POWERICA,Powerica,2026-04-02,397.0,365.1000061035156,,
OMPOWER,Om Power,2026-04-17,195.3000030517578,186.0,,
KISSHT,Kissht,2026-05-08,227.39999389648438,190.0,,
HEXAGON,Hexagon Nutrition,2026-06-12,50.65999984741211,48.099998474121094,,
TURTLEMINT,Turtlemint Fintech,2026-06-29,144.9499969482422,132.0,,
AASTHA,Aastha Spintex,2026-07-06,136.5,130.0,,
KNACK,Knack Packaging,2026-07-08,192.0,180.3300018310547,,
KUSUMGAR,Kusumgar,2026-07-15,625.9000244140625,568.1500244140625,,
LASERPOWER,Laser Power,2026-07-16,270.0,250.0,,
CMLL,Caliber Mining,2026-07-24,538.75,463.3500061035156,,
XTRANET,Xtranet Technologies,2026-07-30,136.89999389648438,129.1999969482422,,
LCL,Lohia Corp,2026-07-30,508.6499938964844,461.0,,
INDOMIM,Indo-MIM,2026-07-30,757.75,700.0,,
MANIPALHOS,Manipal Health,2026-08-05,675.7999877929688,635.0,,
MVELECTRO,MV Electrosystems,2026-08-06,624.0,520.0,,
ARDEE,Ardee Industries,2026-08-12,73.19000244140625,65.80000305175781,,
LEAPIND,LEAP India,2026-08-14,167.0,143.0,,
MILKYMIST,Milky Mist,2026-08-18,181.5,165.0,,
ELIN,Elin Electronics,2022-12-30,245.0,225.60000610351562,,
KFINTECH,KFin Technologies,2022-12-29,373.0,351.0,,
LANDMARK,Landmark Cars,2022-12-23,481.1499938964844,446.20001220703125,,
SULA,Sula Vineyards,2022-12-22,363.29998779296875,328.29998779296875,,
UNIPARTS,Uniparts,2022-12-12,577.0,536.5,,
DHARMAJ,Dharmaj Crop Guard,2022-12-08,279.0,264.29998779296875,,
RUSTOMJEE,Keystone Realtors,2022-11-24,569.9500122070312,548.0,,
INOXGREEN,Inox Green Energy,2022-11-23,64.0,58.349998474121094,,
KAYNES,Kaynes Technology,2022-11-22,786.0,675.0999755859375,,
FIVESTAR,Five-Star Business Finance,2022-11-21,543.5999755859375,448.20001220703125,,
ACI,Archean Chemical,2022-11-21,476.0,440.20001220703125,,
BIKAJI,Bikaji Foods,2022-11-16,334.70001220703125,314.20001220703125,,
DCXINDIA,DCX Systems,2022-11-11,319.8999938964844,287.0,,
TRACXN,Tracxn,2022-10-20,100.0,83.0,,
EMIL,Electronics Mart,2022-10-17,91.0,83.0999984741211,,
HARSHA,Harsha Engineers,2022-09-26,527.6500244140625,430.0,,
TMB,Tamilnad Mercantile Bank,2022-09-15,515.0,481.0,,
DREAMFOLKS,DreamFolks,2022-09-06,549.0,448.0,,
SYRMA,Syrma SGS,2022-08-26,312.0,256.3999938964844,,
INNOVACAP,Innova Captab,2023-12-29,542.5,452.1000061035156,,
AZAD,Azad Engineering,2023-12-28,727.0,670.0,,
HAPPYFORGE,Happy Forgings,2023-12-27,1087.4000244140625,961.25,,
RBZJEWEL,RBZ Jewellers,2023-12-27,105.0,96.0,,
MUFTI,Credo Brands,2023-12-27,324.79998779296875,261.6000061035156,,
SURAJEST,Suraj Estate,2023-12-26,354.45001220703125,324.04998779296875,,
MUTHOOTMF,Muthoot Microfin,2023-12-26,281.0,265.5,,
MOTISONS,Motisons Jewellers,2023-12-26,10.979999542236328,10.354999542236328,,
INOXINDIA,INOX India,2023-12-21,990.0,855.0999755859375,,
DOMS,DOMS Industries,2023-12-20,1434.0,1302.0,,
INDIASHLTR,India Shelter Finance,2023-12-20,630.0,531.0,,
FLAIR,Flair Writing,2023-12-01,514.4000244140625,450.8999938964844,,
TATATECH,Tata Technologies,2023-11-30,1400.0,1200.0,,
GANDHAR,Gandhar Oil,2023-11-30,344.04998779296875,295.29998779296875,,
ASKAUTOLTD,ASK Automotive,2023-11-15,316.70001220703125,303.29998779296875,,
CELLO,Cello World,2023-11-06,837.4000244140625,782.0,,
BLUEJET,Blue Jet Healthcare,2023-11-01,417.95001220703125,378.0,,
IRMENERGY,IRM Energy,2023-10-26,483.70001220703125,450.0,,
PLAZACABLE,Plaza Wires,2023-10-13,84.19999694824219,84.19999694824219,,
VALIANTLAB,Valiant Laboratories,2023-10-06,170.25,162.10000610351562,,
UDS,Updater Services,2023-10-04,298.6499938964844,282.0,,
JSWINFRA,JSW Infra,2023-10-03,157.3000030517578,142.1999969482422,,
MVGJL,Manoj Vaibhav Gems,2023-10-03,222.0,210.10000610351562,,
YATRA,Yatra Online,2023-09-28,138.5500030517578,127.5,,
SIGNATURE,Signature Global,2023-09-27,474.0,444.0,,
KALAMANDIR,Sai Silks,2023-09-27,247.0,230.9499969482422,,
ZAGGLE,Zaggle Prepaid,2023-09-22,176.0,155.3000030517578,,
SAMHI,Samhi Hotels,2023-09-22,146.60000610351562,127.25,,
APOLLO,EMS Limited,2023-09-21,55.900001525878906,54.0,,
RRKABEL,RR Kabel,2023-09-20,1212.699951171875,1136.800048828125,,
JLHL,Jupiter Life Line Hospitals,2023-09-18,221.7899932861328,194.0,,
RATNAVEER,Ratnaveer Precision Engineering,2023-09-11,129.35000610351562,123.0,,
RISHABH,Rishabh Instruments,2023-09-11,470.0,432.3500061035156,,
VPRPL,Vishnu Prakash Punglia,2023-09-05,165.0,144.0,,
AEROFLEX,Aeroflex Industries,2023-08-31,196.35000610351562,162.3000030517578,,
PYRAMID,Pyramid Technoplast,2023-08-29,188.0,177.64999389648438,,
TVSSCS,TVS Supply Chain,2023-08-23,208.60000610351562,199.0,,
CONCORDBIO,Concord Biotech,2023-08-18,987.7000122070312,900.0499877929688,,
SBFC,SBFC Finance,2023-08-16,95.44999694824219,82.0,,
YATHARTH,Yatharth Hospital,2023-08-07,343.1000061035156,306.1000061035156,,
NETWEB,Netweb Technologies,2023-07-27,952.0,876.0499877929688,,
UTKARSHBNK,Utkarsh Small Finance Bank,2023-07-21,48.0,37.20000076293945,,
SENCO,Senco Gold,2023-07-14,222.0,200.60000610351562,,
CYIENTDLM,Cyient DLM,2023-07-10,427.0,403.0,,
IDEAFORGE,IdeaForge,2023-07-07,1343.949951171875,1260.0,,
HMAAGRO,HMA Agro,2023-07-04,66.69999694824219,57.0,,
MANKIND,Mankind Pharma,2023-05-09,1430.0,1300.0,,
AVALON,Avalon Technologies,2023-04-18,436.0,387.1499938964844,,
USK,Udayshivakumar Infra,2023-04-03,31.5,29.149999618530273,,
GSLSU,Global Surfaces,2023-03-23,172.1999969482422,156.10000610351562,,
DIVGIITTS,Divgi TorqTransfer,2023-03-14,620.0,560.0,,
RADIANTCMS,Radiant Cash Management,2023-01-04,116.80000305175781,98.0999984741211,,
UNIMECH,Unimech Aerospace,2024-12-31,1485.0,1327.75,,
SENORES,Senores Pharmaceutical,2024-12-30,609.6500244140625,538.8499755859375,,
CARRARO,Carraro India,2024-12-30,682.0,631.0,,
VENTIVE,Ventive Hospitality,2024-12-30,749.0,702.0,,
CEWATER,Concord Enviro Systems,2024-12-27,860.0,801.0,,
DAMCAPITAL,DAM Capital,2024-12-27,456.8999938964844,392.95001220703125,,
SANATHAN,Sanathan Textiles,2024-12-27,423.0,382.0,,
MAMATA,Mamata Machinery,2024-12-27,630.0,600.0,,
TRANSRAILL,Transrail Lighting,2024-12-27,605.0,544.5,,
IKS,Inventurus Knowledge Solutions,2024-12-19,2031.0,1852.0999755859375,,
MOBIKWIK,One Mobikwik Systems,2024-12-18,528.0,440.0,,
VMM,Vishal Mega Mart,2024-12-18,114.4000015258789,104.0,,
SAILIFE,Sai Life Sciences,2024-12-18,780.0,650.0,,
SURAKSHA,Suraksha Diagnostic,2024-12-06,449.0,414.95001220703125,,
EIEL,Enviro Infra,2024-11-29,233.6999969482422,205.0500030517578,,
NTPCGREEN,NTPC Green Energy,2024-11-27,122.6500015258789,111.5,,
NIVABUPA,Niva Bupa Health Insurance,2024-11-14,81.0,73.51000213623047,,
SWIGGY,Swiggy,2024-11-13,465.79998779296875,391.0,,
ACMESOLAR,ACME Solar,2024-11-13,276.1000061035156,248.5,,
AFCONS,Afcons Infrastructure,2024-11-04,479.45001220703125,420.25,,
GODAVARIB,Godavari Biorefineries,2024-10-30,354.45001220703125,308.0,,
WAAREEENER,Waaree Energies,2024-10-28,2624.39990234375,2300.0,,
GARUDA,Garuda Construction,2024-10-15,120.98999786376953,100.36000061035156,,
DIFFNKG,Diffusion Engineers,2024-10-04,203.1699981689453,193.0500030517578,,
KRN,KRN Heat Exchanger,2024-10-03,513.5,450.0,,
MANBA,Manba Finance,2024-09-30,152.25,144.0,,
ARKADE,Arkade Developers,2024-09-24,190.0,164.8000030517578,,
WCIL,Western Carriers,2024-09-24,177.0,158.50999450683594,,
NORTHARC,Northern Arc Capital,2024-09-24,350.0,308.20001220703125,,
PNGJL,PN Gadgil Jewellers,2024-09-17,848.0,781.5,,
KROSS,Kross,2024-09-16,270.8900146484375,231.9600067138672,,
BAJAJHFL,Bajaj Housing Finance,2024-09-16,165.0,146.0,,
TOLINS,Tolins Tyres,2024-09-16,239.39999389648438,227.5,,
BALAJEE,Shree Tirupati Balajee Agro,2024-09-12,94.5,90.0,,
GALAPREC,Gala Precision,2024-09-09,757.1500244140625,721.0999755859375,,
STYLEBAAZA,Baazar Style Retail,2024-09-06,431.1499938964844,378.3999938964844,,
PREMIERENE,Premier Energies,2024-09-03,994.5499877929688,802.0999755859375,,
ORIENTTECH,Orient Technologies,2024-08-28,274.9090881347656,261.0909118652344,,
SSDL,Saraswati Saree,2024-08-20,203.6999969482422,186.0,,
UNIECOM,Unicommerce eSolutions,2024-08-13,255.99000549316406,206.0,,
OLAELEC,OLA Electric,2024-08-09,91.19999694824219,76.0,,
CEIGALL,Ceigall India,2024-08-08,424.79998779296875,383.25,,
AKUMS,Akums Drugs,2024-08-06,797.5,725.0,,
SANSTAR,Sanstar,2024-07-26,128.7899932861328,107.0999984741211,,
EMCURE,Emcure Pharma,2024-07-10,1385.0,1325.050048828125,,
BANSALWIRE,Bansal Wire,2024-07-10,372.0,336.0,,
VRAJ,Vraj Iron,2024-07-03,252.0,240.0,,
ABDL,Allied Blenders,2024-07-02,324.79998779296875,306.70001220703125,,
STANLEY,Stanley Lifestyles,2024-06-28,509.3999938964844,470.20001220703125,,
AFIL,Akme Fintrade,2024-06-26,13.335000038146973,12.699999809265137,,
DEEDEV,Dee Development,2024-06-26,365.70001220703125,310.0,,
KRONOX,Kronox Lab,2024-06-10,165.60000610351562,156.6999969482422,,
AWFIS,Awfis Space,2024-05-30,451.45001220703125,415.20001220703125,,
TBOTEK,TBO Tek,2024-05-15,1455.949951171875,1275.0,,
AADHARHFC,Aadhar Housing Finance,2024-05-15,343.70001220703125,292.0,,
INDGN,Indegene,2024-05-13,660.0,527.0999755859375,,
JNKINDIA,JNK India,2024-04-30,712.0,621.0,,
BHARTIHEXA,Bharti Hexacom,2024-04-12,880.0,755.0,,
SRM,SRM Contractors,2024-04-03,226.0,215.25,,
KRYSTAL,Krystal Integrated,2024-03-21,793.7999877929688,703.0499877929688,,
PVSL,Popular Vehicles,2024-03-19,289.20001220703125,262.3999938964844,,
GOPAL,Gopal Snacks,2024-03-14,384.79998779296875,341.79998779296875,,
JGCHEM,JG Chemicals,2024-03-13,213.75,181.3000030517578,,
RKSWAMY,R K Swamy,2024-03-12,284.8999938964844,243.0,,
MUKKA,Mukka Proteins,2024-03-07,42.25,38.25,,
PLATIND,Platinum Industries,2024-03-05,236.25,221.0,,
EXICOM,Exicom Tele-Systems,2024-03-05,274.5,219.0,,
GPTHEALTH,GPT Healthcare,2024-02-29,219.89999389648438,196.10000610351562,,
JUNIPER,Juniper Hotels,2024-02-28,401.5,365.0,,
