SYMBOL,COMPANY,LISTING_DATE,STATUS
BHARATCOAL,Bharat Coking Coal,2026-01-20,SYMBOL_MATCH
AMAGI,Amagi Media Labs,2026-01-21,SYMBOL_MATCH
SHADOWFAX,Shadowfax Technologies,2026-01-28,SYMBOL_MATCH
AYE,Aye Finance,2026-02-16,SYMBOL_MATCH
FRACTAL,Fractal Analytics,2026-02-16,SYMBOL_MATCH
GAUDIUMIVF,Gaudium IVF,2026-02-27,SYMBOL_MATCH
CLEANMAX,Clean Max Enviro Energy,2026-02-12,SYMBOL_MATCH
SRTL,Shree Ram Twistex,2026-03-02,SYMBOL_MATCH
PNGSREVA,PNGS Reva,2026-03-04,SYMBOL_MATCH
OMNI,Omnitech Engineering,2026-03-05,SYMBOL_MATCH
SEDEMAC,Sedemac Mechatronics,2026-03-11,SYMBOL_MATCH
RSL,Rajputana Stainless,2026-03-19,SYMBOL_MATCH
INNOVISION,Innovision,2026-03-24,SYMBOL_MATCH
GSPCROP,GSP Crop Science,2026-03-24,SYMBOL_MATCH
CMPDI,Central Mine Planning,2026-04-15,SYMBOL_MATCH
SAIPARENT,Sai Parenteral’s,2026-04-02,SYMBOL_MATCH
AEROPLANE,Aeroplane Basmati,2026-05-05,SYMBOL_MATCH
POWERICA,Powerica,2026-04-02,SYMBOL_MATCH
OMPOWER,Om Power,2026-04-17,SYMBOL_MATCH
KISSHT,Kissht,2026-05-08,SYMBOL_MATCH
CMRGREEN,CMR Green,2026-05-08,SYMBOL_MATCH
HEXAGON,Hexagon Nutrition,2026-06-12,SYMBOL_MATCH
TURTLEMINT,Turtlemint Fintech,2026-06-29,SYMBOL_MATCH
RAMBHAJO,Rambhajo Jewellery,2026-06-05,UNMATCHED
CSM,CSM Technologies,2026-06-30,SYMBOL_MATCH
AASTHA,Aastha Spintex,2026-07-06,SYMBOL_MATCH
KNACK,Knack Packaging,2026-07-08,SYMBOL_MATCH
KUSUMGAR,Kusumgar,2026-07-15,SYMBOL_MATCH
LASERPOWER,Laser Power,2026-07-16,SYMBOL_MATCH
ALPINETEX,Alpine Texworld,2026-07-15,SYMBOL_MATCH
SBIFUNDS,SBI Funds Management,2026-07-30,SYMBOL_MATCH
CMLL,Caliber Mining,2026-07-24,SYMBOL_MATCH
XTRANET,Xtranet Technologies,2026-07-30,SYMBOL_MATCH
LCL,Lohia Corp,2026-07-30,SYMBOL_MATCH
INDOMIM,Indo-MIM,2026-07-30,SYMBOL_MATCH
MANIPALHOS,Manipal Health,2026-08-05,SYMBOL_MATCH
MVELECTRO,MV Electrosystems,2026-08-06,SYMBOL_MATCH
JNPR,Juniper Green Energy,2026-08-06,SYMBOL_MATCH
ARDEE,Ardee Industries,2026-08-12,SYMBOL_MATCH
TECHNOCRAF,Technocraft Ventures,2026-08-12,SYMBOL_MATCH
LEAPIND,LEAP India,2026-08-14,SYMBOL_MATCH
MOLBIO,Molbio Diagnostics,2026-08-18,SYMBOL_MATCH
DHOOT,Dhoot Transmission,2026-08-18,COMPANY_MATCH
MILKYMIST,Milky Mist,2026-08-18,SYMBOL_MATCH
SHIPROCKET,Shiprocket,2026-08-18,SYMBOL_MATCH
BEHA,Behari Lal Engineering,2026-08-18,COMPANY_MATCH
ELIN,Elin Electronics,2022-12-30,SYMBOL_MATCH
KFINTECH,KFin Technologies,2022-12-29,SYMBOL_MATCH
LANDMARK,Landmark Cars,2022-12-23,SYMBOL_MATCH
,Abans Holdings,2022-12-23,UNMATCHED
SULA,Sula Vineyards,2022-12-22,SYMBOL_MATCH
UNIPARTS,Uniparts,2022-12-12,SYMBOL_MATCH
DHARMAJ,Dharmaj Crop Guard,2022-12-08,SYMBOL_MATCH
