SYMBOL,COMPANY,LISTING_DATE,STATUS
RAMBHAJO,Rambhajo Jewellery,2026-06-05,UNMATCHED
DHOOT,Dhoot Transmission,2026-08-18,COMPANY_MATCH
BEHA,Behari Lal Engineering,2026-08-18,COMPANY_MATCH
,Abans Holdings,2022-12-23,UNMATCHED
,Fusion Microfinance,2022-11-15,UNMATCHED
,FedFina,2023-11-30,UNMATCHED
,IREDA,2023-11-29,UNMATCHED
PROTEAN,Protean eGov,2023-11-13,UNMATCHED
,ESAF Bank,2023-11-10,UNMATCHED
,Mamaearth,2023-11-07,UNMATCHED
,IKIO Lighting,2023-06-16,UNMATCHED
,Sah Polymers,2023-01-12,UNMATCHED
IGIL,International Gemmological Institute,2024-12-20,UNMATCHED
,Zinka Logistics,2024-11-22,UNMATCHED
,Sagility India,2024-11-12,UNMATCHED
,Deepak Builders and Engineers,2024-10-28,UNMATCHED
,Hyundai India,2024-10-22,UNMATCHED
,ECOS Mobility,2024-09-04,UNMATCHED
,Interarch Building Products,2024-08-26,UNMATCHED
,FirstCry,2024-08-13,UNMATCHED
,Ixigo,2024-06-18,UNMATCHED
,Go Digit Insurance,2024-05-23,UNMATCHED
,ICICI Prudential AMC,2025-12-19,UNMATCHED
,NephroPlus,2025-12-17,UNMATCHED
,Fujiyama Solar,2025-11-20,UNMATCHED
,Jaro Education,2025-09-30,UNMATCHED
,NSDL,2025-08-06,UNMATCHED
,Schloss Bangalore,2025-06-02,UNMATCHED
,Standard Glass Lining,2025-01-13,UNMATCHED
,Rambhajo Jewellery,2026-07-01,UNMATCHED
,Aeroplane Basmati,2026-04-02,COMPANY_MATCH
