COMPANY,SYMBOL,LISTING_DATE,STATUS,DETAIL,CAPTURE_DATE,LISTING_HIGH,LISTING_LOW
Rambhajo Jewellery,RAMBHAJO,2026-06-05,RECOVERED_NEXT_TRADING_DAY,Stated listing date unavailable; used first later trading session 2026-07-01,2026-07-01,192.0,179.4600067138672
Dhoot Transmission,DHOOT,2026-08-18,REQUEST_ERROR,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DHOOT.NS?period1=1786924800&period2=1787240581&interval=1d&events=history,,,
Behari Lal Engineering,BEHA,2026-08-18,REQUEST_ERROR,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/BEHA.NS?period1=1786924800&period2=1787240582&interval=1d&events=history,,,
Abans Holdings,,2022-12-23,NO_SYMBOL,Master has no symbol,,,
Fusion Microfinance,,2022-11-15,NO_SYMBOL,Master has no symbol,,,
FedFina,,2023-11-30,NO_SYMBOL,Master has no symbol,,,
IREDA,,2023-11-29,NO_SYMBOL,Master has no symbol,,,
Protean eGov,PROTEAN,2023-11-13,RECOVERED_NEXT_TRADING_DAY,Stated listing date unavailable; used first later trading session 2025-02-06,2025-02-06,1535.0,1457.050048828125
ESAF Bank,,2023-11-10,NO_SYMBOL,Master has no symbol,,,
Mamaearth,,2023-11-07,NO_SYMBOL,Master has no symbol,,,
IKIO Lighting,,2023-06-16,NO_SYMBOL,Master has no symbol,,,
Sah Polymers,,2023-01-12,NO_SYMBOL,Master has no symbol,,,
International Gemmological Institute,IGIL,2024-12-20,RECOVERED_NEXT_TRADING_DAY,Stated listing date unavailable; used first later trading session 2024-12-30,2024-12-30,583.9000244140625,547.25
Zinka Logistics,,2024-11-22,NO_SYMBOL,Master has no symbol,,,
Sagility India,,2024-11-12,NO_SYMBOL,Master has no symbol,,,
Deepak Builders and Engineers,,2024-10-28,NO_SYMBOL,Master has no symbol,,,
Hyundai India,,2024-10-22,NO_SYMBOL,Master has no symbol,,,
ECOS Mobility,,2024-09-04,NO_SYMBOL,Master has no symbol,,,
Interarch Building Products,,2024-08-26,NO_SYMBOL,Master has no symbol,,,
FirstCry,,2024-08-13,NO_SYMBOL,Master has no symbol,,,
Ixigo,,2024-06-18,NO_SYMBOL,Master has no symbol,,,
Go Digit Insurance,,2024-05-23,NO_SYMBOL,Master has no symbol,,,
ICICI Prudential AMC,,2025-12-19,NO_SYMBOL,Master has no symbol,,,
NephroPlus,,2025-12-17,NO_SYMBOL,Master has no symbol,,,
Fujiyama Solar,,2025-11-20,NO_SYMBOL,Master has no symbol,,,
Jaro Education,,2025-09-30,NO_SYMBOL,Master has no symbol,,,
NSDL,,2025-08-06,NO_SYMBOL,Master has no symbol,,,
Schloss Bangalore,,2025-06-02,NO_SYMBOL,Master has no symbol,,,
Standard Glass Lining,,2025-01-13,NO_SYMBOL,Master has no symbol,,,
Rambhajo Jewellery,,2026-07-01,NO_SYMBOL,Master has no symbol,,,
Aeroplane Basmati,,2026-04-02,NO_SYMBOL,Master has no symbol,,,
