COMPANY,LISTING_DATE,STATUS,NSE_SYMBOL,NSE_COMPANY,MATCH_SCORE,ALT_2_SYMBOL,ALT_2_COMPANY,ALT_2_SCORE,ERROR
Abans Holdings,2022-12-23,REQUEST_ERROR,,,0,,,,HTTP_404
Fusion Microfinance,2022-11-15,REQUEST_ERROR,,,0,,,,HTTP_404
FedFina,2023-11-30,REQUEST_ERROR,,,0,,,,HTTP_404
IREDA,2023-11-29,REQUEST_ERROR,,,0,,,,HTTP_404
ESAF Bank,2023-11-10,REQUEST_ERROR,,,0,,,,HTTP_404
Mamaearth,2023-11-07,REQUEST_ERROR,,,0,,,,HTTP_404
IKIO Lighting,2023-06-16,REQUEST_ERROR,,,0,,,,HTTP_404
Sah Polymers,2023-01-12,REQUEST_ERROR,,,0,,,,HTTP_404
Zinka Logistics,2024-11-22,REQUEST_ERROR,,,0,,,,HTTP_404
Sagility India,2024-11-12,REQUEST_ERROR,,,0,,,,HTTP_404
Deepak Builders and Engineers,2024-10-28,REQUEST_ERROR,,,0,,,,HTTP_404
Hyundai India,2024-10-22,REQUEST_ERROR,,,0,,,,HTTP_404
ECOS Mobility,2024-09-04,REQUEST_ERROR,,,0,,,,HTTP_404
Interarch Building Products,2024-08-26,REQUEST_ERROR,,,0,,,,HTTP_404
FirstCry,2024-08-13,REQUEST_ERROR,,,0,,,,HTTP_404
Ixigo,2024-06-18,REQUEST_ERROR,,,0,,,,HTTP_404
Go Digit Insurance,2024-05-23,REQUEST_ERROR,,,0,,,,HTTP_404
ICICI Prudential AMC,2025-12-19,REQUEST_ERROR,,,0,,,,HTTP_404
NephroPlus,2025-12-17,REQUEST_ERROR,,,0,,,,HTTP_404
Fujiyama Solar,2025-11-20,REQUEST_ERROR,,,0,,,,HTTP_404
Jaro Education,2025-09-30,REQUEST_ERROR,,,0,,,,HTTP_404
NSDL,2025-08-06,REQUEST_ERROR,,,0,,,,HTTP_404
Schloss Bangalore,2025-06-02,REQUEST_ERROR,,,0,,,,HTTP_404
Standard Glass Lining,2025-01-13,REQUEST_ERROR,,,0,,,,HTTP_404
Rambhajo Jewellery,2026-07-01,REQUEST_ERROR,,,0,,,,HTTP_404
Aeroplane Basmati,2026-04-02,REQUEST_ERROR,,,0,,,,HTTP_404
