COMPANY,SYMBOL,LISTING_DATE,STATUS,CAPTURE_DATE,LISTING_HIGH,LISTING_LOW,DETAIL
Dhoot Transmission,,2026-08-18,NO_VERIFIED_SYMBOL,,,,Not present in verified symbol map
Behari Lal Engineering,,2026-08-18,NO_VERIFIED_SYMBOL,,,,Not present in verified symbol map
Abans Holdings,AFSL,2022-12-23,VERIFIED_LISTING_DAY,2022-12-23,273.0,218.39999389648438,
Fusion Microfinance,FUSION,2022-11-15,VERIFIED_LISTING_DAY,2022-11-15,364.79998779296875,321.1000061035156,
FedFina,FEDFINA,2023-11-30,VERIFIED_LISTING_DAY,2023-11-30,148.25,133.0,
IREDA,IREDA,2023-11-29,VERIFIED_LISTING_DAY,2023-11-29,60.0,50.0,
ESAF Bank,ESAFSFB,2023-11-10,VERIFIED_LISTING_DAY,2023-11-10,74.80000305175781,68.55000305175781,
Mamaearth,HONASA,2023-11-07,VERIFIED_LISTING_DAY,2023-11-07,340.45001220703125,321.1000061035156,
IKIO Lighting,IKIO,2023-06-16,VERIFIED_LISTING_DAY,2023-06-16,427.5,392.0,
Sah Polymers,SAH,2023-01-12,REQUEST_ERROR,,,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SAH.NS?period1=0&period2=1787222011&interval=1d&events=history
Zinka Logistics,BLACKBUCK,2024-11-22,VERIFIED_LISTING_DAY,2024-11-22,285.8999938964844,255.35000610351562,
Sagility India,SAGILITY,2024-11-12,VERIFIED_LISTING_DAY,2024-11-12,32.869998931884766,28.950000762939453,
Deepak Builders and Engineers,DBEIL,2024-10-28,VERIFIED_LISTING_DAY,2024-10-28,20.0,16.051000595092773,
Hyundai India,HYUNDAI,2024-10-22,VERIFIED_LISTING_DAY,2024-10-22,1970.0,1807.0,
ECOS Mobility,ECOSMOBLTY,2024-09-04,VERIFIED_LISTING_DAY,2024-09-04,456.0,380.0,
Interarch Building Products,INTERARCH,2024-08-26,VERIFIED_LISTING_DAY,2024-08-26,1314.800048828125,1179.050048828125,
FirstCry,FIRSTCRY,2024-08-13,VERIFIED_LISTING_DAY,2024-08-13,707.7000122070312,640.0,
Ixigo,IXIGO,2024-06-18,VERIFIED_LISTING_DAY,2024-06-18,165.72000122070312,135.0,
Go Digit Insurance,GODIGIT,2024-05-23,VERIFIED_LISTING_DAY,2024-05-23,314.0,280.0,
ICICI Prudential AMC,ICICIAMC,2025-12-19,VERIFIED_LISTING_DAY,2025-12-19,2663.39990234375,2575.0,
NephroPlus,NEPHROPLUS,2025-12-17,VERIFIED_LISTING_DAY,2025-12-17,499.0,463.79998779296875,
Fujiyama Solar,UTLSOLAR,2025-11-20,VERIFIED_LISTING_DAY,2025-11-20,230.99000549316406,205.25,
Jaro Education,JARO,2025-09-30,VERIFIED_LISTING_DAY,2025-09-30,890.0,717.5499877929688,
NSDL,NSDL,2025-08-06,REQUEST_ERROR,,,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/NSDL.NS?period1=0&period2=1787222020&interval=1d&events=history
Schloss Bangalore,SCHLOSS,2025-06-02,REQUEST_ERROR,,,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SCHLOSS.NS?period1=0&period2=1787222021&interval=1d&events=history
Standard Glass Lining,SGLTL,2025-01-13,REQUEST_ERROR,,,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SGLTL.NS?period1=0&period2=1787222022&interval=1d&events=history
Rambhajo Jewellery,RAMBHAJO,2026-07-01,VERIFIED_LISTING_DAY,2026-07-01,192.0,179.4600067138672,
Aeroplane Basmati,AEROPLANE,2026-04-02,VERIFIED_LISTING_DAY,2026-04-02,200.0,180.0,
